图片ID,种族,职业,提示词
827,人类,法师,"human girl, silver hair, long hair, curly hair, blunt bangs, ahoge, pink eyes, curvy build, huge breasts, white-gold color scheme, seductive stargazer robes, cosmic patterns, constellation staff, astral grimoire, celestial jewelry, sheer night-sky cloak, silver threads, moon pendant, star earrings, divination tools, alluring astral ornaments, telescope accessory, focused, casting, silver forest, magical light, mystical, white-gold color scheme, looking_outside, cowboy_shot, dynamic_angle, symmetric composition,"
828,人类,医师,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, forehead, ahoge, blue eyes, curvy build, huge breasts, medical white color scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, focused, standing, herb garden, soft light, warm, medical white color scheme, head_tilt, cowboy_shot, dynamic_angle, symmetric composition,"
829,人类,吟游诗人,"human girl, silver hair, long hair, disheveled hair, crossed bangs, feather accent, golden eyes, curvy build, huge breasts, colorful scheme, alluring artist attire, cropped paint-stained apron, creative tools, parchment scroll, color palette, brushes, artistic beret, leather bag, inspiration choker, creative accessories, seductive bohemian ornaments, ink bottles, artistic, dancing, village square, stage light, lively, colorful scheme, facing_away, panorama, from_below, elegant composition,"
830,人类,骑士,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, straight hair, crossed bangs, flower accessory, purple eyes, curvy build, huge breasts, blue-gold color scheme, seductive paladin set, polished mail, greatsword, reliquary, heraldic cape, white gloves, sash, brooch, circlet, prayer book, alluring holy ornaments, blessed pendant, confident, praying, castle, sunlight, romantic, blue-gold color scheme, looking_to_the_side, upper_body, from_above, symmetric composition,"
831,人类,牧师,"human girl, silver hair, long hair, curly hair, blunt bangs, streaked hair, purple eyes, curvy build, huge breasts, silver-blue color scheme, revealing holy vestments, slit blessed robes, ceremonial attire, gilded crosier, holy symbol, rosary beads, sheer stole, embroidered trim, reliquary pendant, lace gloves, provocative sacred accessories, incense thurible, calm, praying, lunar temple, moonlight, peaceful, silver-blue color scheme, facing_away, upper_body, cinematic_angle, aerial,"
832,人类,女王,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, straight hair, swept bangs, flower accessory, heart-shaped eyes, curvy build, huge breasts, white-gold color scheme, alluring dragon robe, imperial crown, jade scepter, phoenix embroidery, slit silk train, golden threads, royal brooch, ceremonial bracers, signet ring, court jewelry, provocative sovereign accessories, dragon motifs, commanding, sitting regally, throne room, sunlight, luxurious, white-gold color scheme, head_tilt, upper_body, foreshortening, aerial,"
833,人类,公主,"human girl, silver hair, long hair, hime cut, long bangs, ahoge, blue eyes, curvy build, huge breasts, rose-gold color scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, cheerful, walking gracefully, palace garden, soft light, romantic, rose-gold color scheme, eye-contact, portrait, front view, elegant composition,"
834,人类,王后,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, twintails, blunt bangs, jeweled hairpin, blue eyes, curvy build, huge breasts, deep crimson scheme, provocative court regalia, jeweled diadem, revealing state robe, slit formal gown, silver threading, royal brooch, ceremonial bracers, court gloves, pendant choker, palace jewelry, alluring dignified accessories, scepter ornament, elegant, standing gracefully, royal palace, royal lighting, dignified, deep crimson scheme, looking_to_the_side, cowboy_shot, dynamic_angle, symmetric composition,"
835,人类,战士,"human girl, silver hair, long hair, hime cut, ahoge, green eyes, curvy build, huge breasts, steel-red color scheme, torn plate armor, revealing chainmail, cut-out surcoat, longsword, scabbard, banner tassels, metal gorget, waist straps, exposed gauntlets, crest brooch, provocative battlefield accessories, war horn, fierce, battle ready, battlefield, sunlight, epic, steel-red color scheme, head_tilt, full_shot, from_below, symmetric composition,"
836,人类,学者,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, hair wings, swept bangs, streaked hair, red eyes, curvy build, huge breasts, blue-gold color scheme, alluring librarian attire, scholarly vest, revealing chemise, archive tools, catalog books, magnifying lens, leather gloves, reading spectacles, book strap, academic jewelry, seductive intellectual ornaments, library seal, calm, reading, ancient ruins, candlelight, peaceful, blue-gold color scheme, sideways_glance, portrait, cinematic_angle, symmetric composition,"
837,人类,商人,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, hair bun, crossed bangs, feather accent, heart-shaped eyes, curvy build, huge breasts, wealthy emerald scheme, revealing merchant attire, tight traveling gear, silk garments, coin pouch, ledger, signet ring, scarf, satchel, chain purse, seal stamp, alluring trade accessories, merchant scales, smiling, negotiating, marketplace, sunlight, peaceful, wealthy emerald scheme, looking_to_the_side, full_shot, from_above, turn_one's_back,"
838,人类,盗贼,"human girl, silver hair, long hair, twintails, long bangs, delicate hair ornament, blue eyes, curvy build, huge breasts, dark color scheme, tight leather armor, revealing cloak, hood, dagger, shortsword, lockpicks, throwing knives, belt chains, fingerless gloves, face veil, provocative stealth accessories, rope coil, cold, standing, alleyway, moonlight, tense, dark color scheme, stare, cowboy_shot, dutch angle, rule of thirds,"
839,人类,教师,"human girl, (silver hair:1.2), silver to white gradient hair, long hair, hair between eyes, air bangs, braid detail, green eyes, curvy build, huge breasts, blue-white color scheme, revealing academy robes, sheer scholarly robe, slit formal dress, graduation cap, textbooks, quill pen, ink bottle, academic medal, school badge, educational jewelry, provocative scholarly accessories, lesson scrolls, gentle, explaining, library, sunlight, educational, blue-white color scheme, looking_back, wide_shot, dutch angle, elegant composition,"
840,人类,女仆,"human girl, silver hair, long hair, forehead, crossed bangs, braid detail, rainbow eyes, curvy build, huge breasts, white-black color scheme, battle maid outfit, armored apron, concealed weapons, protective serving gear, combat cleaning tools, defensive accessories, guard maid badge, tactical service equipment, warrior servant ornaments, battle-ready slippers, protection jewelry, fighting stance ready, smiling, standing, castle, indoor light, peaceful, white-black color scheme, looking_back, full_shot, from_above, turn_one's_back,"
841,人类,法师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, hair bun, air bangs, ribbon, heart-shaped eyes, petite build, small breasts, silver-blue color scheme, alluring sorceress set, sheer satin robe, gilded trims, ornate wand, tome with clasps, slit brocade cape, beaded cords, gemstone rings, arcane brooch, spell components, provocative mystical ornaments, ritual accessories, calm, casting, stellar tower, starlight, magical, silver-blue color scheme, eye-contact, wide_shot, from_below, rule of thirds,"
842,人类,医师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, wavy hair, blunt bangs, braid detail, golden eyes, petite build, small breasts, medical white color scheme, revealing herbalist outfit, botanical patterns, plant guide, herb scissors, collection basket, dried herbs, essence vials, nature jewelry, green ribbons, healing charm, alluring natural healer ornaments, flower crown, focused, examining, sacred garden, soft light, warm, medical white color scheme, head_down, panorama, from_below, turn_one's_back,"
843,人类,吟游诗人,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, wavy hair, centre parting bangs, ahoge, purple eyes, petite build, small breasts, rainbow color scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, artistic, dancing, tavern, sunlight, lively, rainbow color scheme, gradient, portrait, front view, symmetric composition,"
844,人类,骑士,"human girl, black hair, long hair, disheveled hair, long bangs, braid detail, red eyes, petite build, small breasts, royal knight scheme, torn plate armor, heraldic cut-out surcoat, ornate shield, rapier, cape, plume helm, waist straps, engraved vambraces, silk scarf, crest medallion, alluring chivalric accessories, sword belt, confident, combat stance, sacred garden, sunlight, romantic, royal knight scheme, head_down, panorama, from_side, rule of thirds,"
845,人类,牧师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, ponytail, asymmetric bangs, tiara, heart-shaped eyes, petite build, small breasts, white-gold color scheme, revealing holy vestments, slit blessed robes, ceremonial attire, gilded crosier, holy symbol, rosary beads, sheer stole, embroidered trim, reliquary pendant, lace gloves, provocative sacred accessories, incense thurible, calm, blessing, sacred garden, starlight, divine, white-gold color scheme, looking_afar, cowboy_shot, dynamic_angle, symmetric composition,"
846,人类,女王,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, forehead, swept bangs, streaked hair, red eyes, petite build, small breasts, imperial crimson scheme, revealing royal gown, jeweled tiara, royal scepter, cropped velvet mantle, slit court dress, silver embroidery, royal waist chain, lace gloves, crown jewels, pearl earrings, seductive regal accessories, orb of power, elegant, sitting regally, royal palace, chandelier light, regal, imperial crimson scheme, looking_outside, medium_shot, from_below, aerial,"
847,人类,公主,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, ponytail, asymmetric bangs, ribbon, heart-shaped eyes, petite build, small breasts, fairy tale scheme, seductive garden dress, floral tiara, sheer pastel gown, ribbon waist chain, embroidered flowers, pearl choker, lace gloves, hair ribbons, delicate jewelry, garden accessories, provocative youthful ornaments, rose bouquet, innocent, walking gracefully, flower garden, soft light, dreamy, fairy tale scheme, head_down, wide_shot, from_below, symmetric composition,"
848,人类,王后,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, hair wings, centre parting bangs, tiara, heart-shaped eyes, petite build, small breasts, royal purple color scheme, alluring consort gown, ornate crown, revealing royal mantle, slit ceremonial dress, golden embroidery, royal jewels, silk gloves, court waist chain, regal choker, formal accessories, seductive queenly ornaments, royal fan, majestic, sitting regally, court hall, royal lighting, dignified, royal purple color scheme, looking_ahead, upper_body, from_below, aerial,"
849,人类,战士,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, side ponytail, swept bangs, ribbon, golden eyes, petite build, small breasts, battle-worn scheme, revealing heavy armor, reinforced plate, battle axe, shield, war banner, metal boots, armored gloves, sword belt, combat accessories, warrior insignia, alluring militant ornaments, victory medals, confident, standing, battlefield, flame light, epic, battle-worn scheme, looking_ahead, cowboy_shot, from_above, aerial,"
850,人类,学者,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, double bun, crossed bangs, silk bow, red eyes, petite build, small breasts, blue-gold color scheme, arcane researcher attire, mystical robes, ancient tome, relic analysis tools, magic detection devices, archaeological notes, cryptic symbols, enchanted spectacles, mystic jewelry, esoteric accessories, divination instruments, rune decoder, gentle, writing, ancient ruins, sunlight, scholarly, blue-gold color scheme, looking_down, full_shot, from_below, symmetric composition,"
851,人类,商人,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, straight hair, air bangs, ahoge, pink eyes, petite build, small breasts, gold-brown color scheme, maritime merchant attire, naval trade robes, shipping manifests, fleet documents, exotic goods, overseas treasures, sea charts, port authority seals, maritime jewelry, ocean trade badges, import certificates, cargo samples, smiling, daily life pose, trading post, sunlight, busy, gold-brown color scheme, stare, wide_shot, cinematic_angle, symmetric composition,"
852,人类,盗贼,"human girl, black hair, long hair, curly hair, asymmetric bangs, tiara, pink eyes, petite build, small breasts, shadow-black scheme, alluring burglar gear, dark leather suit, face mask, climbing tools, lock picks, stolen jewels, silent boots, arm bracers, utility belt, stealth accessories, seductive criminal ornaments, dark vision potion, sly, standing, village, moonlight, mysterious, shadow-black scheme, facing_away, wide_shot, foreshortening, symmetric composition,"
853,人类,教师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, straight hair, blunt bangs, silk bow, rainbow eyes, petite build, small breasts, scholarly beige scheme, military instructor gear, tactical teaching uniform, strategy boards, combat training manual, war game pieces, drill equipment, tactical maps, battlefield simulation tools, training whistle, military medals, discipline ornaments, rank insignia, gentle, standing, village, study light, educational, scholarly beige scheme, looking_outside, cowboy_shot, dynamic_angle, rule of thirds,"
854,人类,女仆,"human girl, black hair, long hair, bob cut, crossed bangs, silk bow, blue eyes, petite build, small breasts, classic maid scheme, aristocratic servant outfit, luxury maid dress, high-class service tools, social event accessories, noble etiquette implements, elegant serving ware, sophisticated service badge, refined slippers, aristocratic jewelry, banquet assistance tools, grace ornaments, formal event gear, smiling, standing, castle, indoor light, peaceful, classic maid scheme, head_tilt, full_shot, front view, aerial,"
855,人类,法师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, ponytail, air bangs, jeweled hairpin, brown eyes, athletic build, (medium breasts:1.2), arcane purple scheme, revealing mage attire, sheer embroidered robe, arcane sigils, crystal staff, floating grimoire, cropped velvet cape, lace inner layers, rune earrings, waist chains, talisman necklace, seductive arcane jewelry, spell pouches, focused, casting, moonlit grove, moonlight, mystical, arcane purple scheme, looking_up, profile, from_above, elegant composition,"
856,人类,医师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, curly hair, long bangs, ahoge, rainbow eyes, athletic build, (medium breasts:1.2), green-white color scheme, revealing herbalist outfit, botanical patterns, plant guide, herb scissors, collection basket, dried herbs, essence vials, nature jewelry, green ribbons, healing charm, alluring natural healer ornaments, flower crown, focused, standing, sacred garden, soft light, peaceful, green-white color scheme, looking_back, full_shot, cinematic_angle, aerial,"
857,人类,吟游诗人,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, side ponytail, air bangs, braid detail, rainbow eyes, athletic build, (medium breasts:1.2), rainbow color scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, artistic, dancing, playhouse, stage light, peaceful, rainbow color scheme, looking_down, cowboy_shot, foreshortening, turn_one's_back,"
858,人类,骑士,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, hair wings, long bangs, delicate hair ornament, blue eyes, athletic build, (medium breasts:1.2), blue-gold color scheme, revealing holy plate, divine armor, ceremonial gear, longsword, blessed shield, sacred sigil, slit tabard, chain belt, silk lining, cape, alluring sanctified accessories, holy reliquary, noble, praying, sacred garden, sunlight, romantic, blue-gold color scheme, eye-contact, full_shot, from_side, turn_one's_back,"
859,人类,牧师,"human girl, black hair, long hair, disheveled hair, air bangs, feather accent, green eyes, athletic build, (medium breasts:1.2), holy white scheme, revealing holy vestments, slit blessed robes, ceremonial attire, gilded crosier, holy symbol, rosary beads, sheer stole, embroidered trim, reliquary pendant, lace gloves, provocative sacred accessories, incense thurible, calm, meditating, starlit plains, starlight, divine, holy white scheme, looking_to_the_side, wide_shot, from_side, aerial,"
860,人类,女王,"human girl, black hair, long hair, ponytail, crossed bangs, flower accessory, golden eyes, athletic build, (medium breasts:1.2), royal purple color scheme, alluring dragon robe, imperial crown, jade scepter, phoenix embroidery, slit silk train, golden threads, royal brooch, ceremonial bracers, signet ring, court jewelry, provocative sovereign accessories, dragon motifs, commanding, commanding pose, royal palace, sunlight, regal, royal purple color scheme, looking_outside, wide_shot, from_below, rule of thirds,"
861,人类,公主,"human girl, black hair, long hair, disheveled hair, crossed bangs, feather accent, golden eyes, athletic build, (medium breasts:1.2), pastel pink scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, cheerful, sitting elegantly, palace garden, sunlight, dreamy, pastel pink scheme, looking_outside, full_shot, foreshortening, turn_one's_back,"
862,人类,王后,"human girl, black hair, long hair, bob cut, centre parting bangs, silk bow, heart-shaped eyes, athletic build, (medium breasts:1.2), deep crimson scheme, seductive ceremonial attire, queen's crown, revealing velvet robe, imperial train, precious gems, golden chains, silk undergarments, royal rings, pearl jewelry, court accessories, alluring majestic ornaments, ermine trim, elegant, sitting regally, royal palace, sunlight, regal, deep crimson scheme, looking_up, portrait, dutch angle, turn_one's_back,"
863,人类,战士,"human girl, black hair, long hair, messy hair, crossed bangs, feather accent, red eyes, athletic build, (medium breasts:1.2), iron-blood scheme, torn plate armor, revealing chainmail, cut-out surcoat, longsword, scabbard, banner tassels, metal gorget, waist straps, exposed gauntlets, crest brooch, provocative battlefield accessories, war horn, fierce, standing, battlefield, flame light, epic, iron-blood scheme, looking_up, cowboy_shot, front view, symmetric composition,"
864,人类,学者,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, curly hair, centre parting bangs, delicate hair ornament, green eyes, athletic build, (medium breasts:1.2), blue-gold color scheme, seductive researcher set, tailored robe, ink-stained cuffs, notebook, feather quill, document tube, seal wax, lace collar, velvet ribbon, chain satchel, alluring academic ornaments, research notes, thoughtful, writing, ancient ruins, sunlight, scholarly, blue-gold color scheme, looking_down, profile, from_above, elegant composition,"
865,人类,商人,"human girl, black hair, long hair, bob cut, ribbon, brown eyes, athletic build, (medium breasts:1.2), obsidian-purple color scheme, maritime merchant attire, naval trade robes, shipping manifests, fleet documents, exotic goods, overseas treasures, sea charts, port authority seals, maritime jewelry, ocean trade badges, import certificates, cargo samples, gentle, negotiating, marketplace, sunlight, busy, obsidian-purple color scheme, eyeball, panorama, from_above, symmetric composition,"
866,人类,盗贼,"human girl, black hair, long hair, braided ponytail, centre parting bangs, ribbon, red eyes, athletic build, (medium breasts:1.2), dark color scheme, phantom thief attire, acrobatic gear, silk grappling rope, calling card, rooftop running shoes, dramatic cloak, gentleman thief accessories, heist plans, escape routes, theatrical ornaments, signature mask, trophy collection, mysterious, sneaking, dark forest, shadow, tense, dark color scheme, facing_away, full_shot, dynamic_angle, rule of thirds,"
867,人类,教师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, braided bangs, crossed bangs, ahoge, purple eyes, athletic build, (medium breasts:1.2), academy blue color scheme, noble tutor attire, refined teaching robes, etiquette manuals, aristocratic lesson plans, deportment tools, cultural education materials, high society accessories, sophisticated jewelry, elegant teaching aids, nobility crest, refinement ornaments, grace training implements, focused, explaining, study chamber, study light, peaceful, academy blue color scheme, looking_at_viewer, cowboy_shot, foreshortening, rule of thirds,"
868,人类,女仆,"human girl, black hair, long hair, disheveled hair, jeweled hairpin, rainbow eyes, athletic build, (medium breasts:1.2), classic maid scheme, battle maid outfit, armored apron, concealed weapons, protective serving gear, combat cleaning tools, defensive accessories, guard maid badge, tactical service equipment, warrior servant ornaments, battle-ready slippers, protection jewelry, fighting stance ready, obedient, serving pose, castle, indoor light, domestic, classic maid scheme, looking_outside, upper_body, from_below, elegant composition,"
869,人类,法师,"human girl, black hair, long hair, wavy hair, centre parting bangs, feather accent, rainbow eyes, curvy build, huge breasts, white-gold color scheme, alluring sorceress set, sheer satin robe, gilded trims, ornate wand, tome with clasps, slit brocade cape, beaded cords, gemstone rings, arcane brooch, spell components, provocative mystical ornaments, ritual accessories, mysterious, meditating, moonlit grove, starlight, mystical, white-gold color scheme, head_down, upper_body, dutch angle, aerial,"
870,人类,医师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, double bun, air bangs, flower accessory, purple eyes, curvy build, huge breasts, medical white color scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, caring, healing pose, sacred garden, sunlight, peaceful, medical white color scheme, looking_up, panorama, foreshortening, symmetric composition,"
871,人类,吟游诗人,"human girl, black hair, long hair, drill hair, long bangs, silk bow, heart-shaped eyes, curvy build, huge breasts, rainbow color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, smiling, dancing, village square, sunlight, lively, rainbow color scheme, looking_back, portrait, foreshortening, rule of thirds,"
872,人类,骑士,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, messy hair, blunt bangs, braid detail, purple eyes, curvy build, huge breasts, blue-gold color scheme, revealing tournament armor, polished cuirass, lance, buckler, sash, embroidered cape, plume, signet ring, scabbard, chain belt, seductive knight ornaments, tournament favor, confident, praying, sacred garden, divine light, romantic, blue-gold color scheme, facing_away, panorama, foreshortening, symmetric composition,"
873,人类,牧师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, high ponytail, air bangs, flower accessory, red eyes, curvy build, huge breasts, holy white scheme, alluring blessed vestments, white silk robes, golden cross, sacred chalice, holy texts, ceremonial candles, silver chains, divine jewelry, prayer shawl, sacred relics, seductive clerical ornaments, blessing oils, gentle, meditating, starlit plains, moonlight, romantic, holy white scheme, looking_down, panorama, from_side, rule of thirds,"
874,人类,女王,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, braided bangs, crossed bangs, tiara, blue eyes, curvy build, huge breasts, royal purple color scheme, seductive imperial regalia, ornate crown, royal scepter, revealing ermine cape, sheer silk gown, golden embroidery, jeweled waist chain, royal rings, lace gloves, pearl choker, alluring imperial ornaments, royal seal, majestic, sitting regally, royal palace, chandelier light, luxurious, royal purple color scheme, looking_down, full_shot, front view, aerial,"
875,人类,公主,"human girl, black hair, long hair, messy hair, long bangs, flower accessory, red eyes, curvy build, huge breasts, fairy tale scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, cheerful, walking gracefully, great hall, soft light, romantic, fairy tale scheme, gradient, upper_body, cinematic_angle, turn_one's_back,"
876,人类,王后,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, curly hair, swept bangs, feather accent, rainbow eyes, curvy build, huge breasts, elegant burgundy scheme, seductive ceremonial attire, queen's crown, revealing velvet robe, imperial train, precious gems, golden chains, silk undergarments, royal rings, pearl jewelry, court accessories, alluring majestic ornaments, ermine trim, majestic, standing gracefully, palace garden, sunlight, dignified, elegant burgundy scheme, facing_away, panorama, cinematic_angle, turn_one's_back,"
877,人类,战士,"human girl, black hair, long hair, ponytail, braid detail, red eyes, curvy build, huge breasts, iron-blood scheme, torn plate armor, revealing chainmail, cut-out surcoat, longsword, scabbard, banner tassels, metal gorget, waist straps, exposed gauntlets, crest brooch, provocative battlefield accessories, war horn, confident, combat stance, royal palace, sunlight, epic, iron-blood scheme, eye-contact, medium_shot, dynamic_angle, elegant composition,"
878,人类,学者,"human girl, black hair, long hair, ponytail, long bangs, flower accessory, golden eyes, curvy build, huge breasts, blue-gold color scheme, arcane researcher attire, mystical robes, ancient tome, relic analysis tools, magic detection devices, archaeological notes, cryptic symbols, enchanted spectacles, mystic jewelry, esoteric accessories, divination instruments, rune decoder, calm, standing, ancient ruins, sunlight, peaceful, blue-gold color scheme, head_down, wide_shot, front view, symmetric composition,"
879,人类,商人,"human girl, black hair, long hair, disheveled hair, air bangs, braid detail, pink eyes, curvy build, huge breasts, wealthy emerald scheme, alluring wealthy attire, luxurious fabrics, jeweled accessories, money bag, business documents, seal ring, silk tie, golden chains, expensive jewelry, trade goods, seductive prosperity ornaments, merchant badge, confident, negotiating, trading post, warm light, busy, wealthy emerald scheme, gradient, wide_shot, from_side, turn_one's_back,"
880,人类,盗贼,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, braided ponytail, centre parting bangs, flower accessory, brown eyes, curvy build, huge breasts, obsidian-purple color scheme, alluring burglar gear, dark leather suit, face mask, climbing tools, lock picks, stolen jewels, silent boots, arm bracers, utility belt, stealth accessories, seductive criminal ornaments, dark vision potion, sly, sneaking, tavern, moonlight, mysterious, obsidian-purple color scheme, looking_ahead, upper_body, dutch angle, symmetric composition,"
881,人类,教师,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, straight hair, swept bangs, tiara, brown eyes, curvy build, huge breasts, scholarly beige scheme, revealing academy robes, sheer scholarly robe, slit formal dress, graduation cap, textbooks, quill pen, ink bottle, academic medal, school badge, educational jewelry, provocative scholarly accessories, lesson scrolls, focused, standing, village, study light, peaceful, scholarly beige scheme, head_tilt, portrait, from_above, rule of thirds,"
882,人类,女仆,"human girl, (black hair:1.2), black to dark purple gradient hair, long hair, hime cut, crossed bangs, ribbon, heart-shaped eyes, curvy build, huge breasts, white-black color scheme, magical maid attire, enchanted apron, cleaning spell wand, convenience magic tools, household charm accessories, arcane domestic implements, magical service badge, spell-aided cleaning gear, mystical servant ornaments, enchanted slippers, mana-infused jewelry, quick-clean magic, gentle, standing, castle, sunlight, peaceful, white-black color scheme, looking_up, upper_body, from_below, symmetric composition,"
883,人类,法师,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, high ponytail, long bangs, streaked hair, purple eyes, petite build, small breasts, violet color scheme, seductive stargazer robes, cosmic patterns, constellation staff, astral grimoire, celestial jewelry, sheer night-sky cloak, silver threads, moon pendant, star earrings, divination tools, alluring astral ornaments, telescope accessory, focused, casting, magical academy, starlight, magical, violet color scheme, gradient, panorama, front view, rule of thirds,"
884,人类,医师,"human girl, purple hair, long hair, hair between eyes, swept bangs, jeweled hairpin, golden eyes, petite build, small breasts, healing green scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, caring, standing, healing house, sunlight, peaceful, healing green scheme, head_down, profile, from_above, aerial,"
885,人类,吟游诗人,"human girl, purple hair, long hair, disheveled hair, air bangs, flower accessory, blue eyes, petite build, small breasts, vibrant multi-color scheme, alluring artist attire, cropped paint-stained apron, creative tools, parchment scroll, color palette, brushes, artistic beret, leather bag, inspiration choker, creative accessories, seductive bohemian ornaments, ink bottles, smiling, performing pose, village square, sunlight, peaceful, vibrant multi-color scheme, looking_at_viewer, cowboy_shot, foreshortening, elegant composition,"
886,人类,骑士,"human girl, purple hair, long hair, hair between eyes, air bangs, feather accent, green eyes, petite build, small breasts, blue-gold color scheme, revealing holy plate, divine armor, ceremonial gear, longsword, blessed shield, sacred sigil, slit tabard, chain belt, silk lining, cape, alluring sanctified accessories, holy reliquary, confident, praying, castle, sunlight, divine, blue-gold color scheme, eye-contact, wide_shot, from_below, aerial,"
887,人类,牧师,"human girl, purple hair, long hair, hair between eyes, crossed bangs, silk bow, brown eyes, petite build, small breasts, silver-blue color scheme, divine ceremonial set, sheer luminous robe, golden embroidery, sacred bible, prayer book, beaded rosary, ribboned waist chain, veil fascinator, signet ring, halo accessory, alluring sanctified ornaments, holy water vessel, calm, casting, chapel, moonlight, romantic, silver-blue color scheme, gradient, upper_body, dynamic_angle, aerial,"
888,人类,女王,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, forehead, streaked hair, red eyes, petite build, small breasts, royal purple color scheme, revealing royal gown, jeweled tiara, royal scepter, cropped velvet mantle, slit court dress, silver embroidery, royal waist chain, lace gloves, crown jewels, pearl earrings, seductive regal accessories, orb of power, majestic, walking gracefully, royal gardens, chandelier light, regal, royal purple color scheme, eye-contact, portrait, foreshortening, aerial,"
889,人类,公主,"human girl, purple hair, long hair, twin braids, asymmetric bangs, feather accent, blue eyes, petite build, small breasts, fairy tale scheme, alluring ballroom gown, sparkling tiara, revealing elegant dress, silk fan, dance invitation, pearl necklace, satin slippers, elbow gloves, jeweled hairpin, lace petticoat, seductive noble ornaments, masquerade mask, cheerful, walking gracefully, flower garden, soft light, dreamy, fairy tale scheme, eyeball, cowboy_shot, dynamic_angle, aerial,"
890,人类,王后,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, double bun, air bangs, streaked hair, golden eyes, petite build, small breasts, deep crimson scheme, provocative court regalia, jeweled diadem, revealing state robe, slit formal gown, silver threading, royal brooch, ceremonial bracers, court gloves, pendant choker, palace jewelry, alluring dignified accessories, scepter ornament, majestic, sitting regally, royal palace, sunlight, dignified, deep crimson scheme, stare, panorama, dutch angle, elegant composition,"
891,人类,战士,"human girl, (purple hair:1.2), purple to blonde gradient hair, long hair, hair bun, swept bangs, silk bow, blue eyes, petite build, small breasts, battle-worn scheme, revealing heavy armor, reinforced plate, battle axe, shield, war banner, metal boots, armored gloves, sword belt, combat accessories, warrior insignia, alluring militant ornaments, victory medals, confident, combat stance, royal palace, flame light, epic, battle-worn scheme, eye-contact, portrait, cinematic_angle, elegant composition,"
